CAH level marker,CAH level subject,Level of study,Academic Year,Sex,Number
CAH level 1,11 Computing,All,2022/23,Female,6470
CAH level 1,11 Computing,All,2022/23,Male,30500
CAH level 1,11 Computing,All,2022/23,Unknown,290
CAH level 1,11 Computing,All,2022/23,Total,37260
CAH level 1,"13 Architecture, building and planning",First degree,2022/23,Female,3270
CAH level 1,"13 Architecture, building and planning",First degree,2022/23,Male,6535
CAH level 1,"13 Architecture, building and planning",First degree,2022/23,Unknown,45
CAH level 1,"13 Architecture, building and planning",First degree,2022/23,Total,9855
CAH level 1,"13 Architecture, building and planning",Other undergraduate,2022/23,Female,90
CAH level 1,"13 Architecture, building and planning",Other undergraduate,2022/23,Male,55
CAH level 1,"13 Architecture, building and planning",Other undergraduate,2022/23,Unknown,0
CAH level 1,"13 Architecture, building and planning",Other undergraduate,2022/23,Total,150
CAH level 1,"13 Architecture, building and planning",All,2022/23,Female,3365
CAH level 1,"13 Architecture, building and planning",All,2022/23,Male,6595
CAH level 1,"13 Architecture, building and planning",All,2022/23,Unknown,45
CAH level 1,"13 Architecture, building and planning",All,2022/23,Total,10005
CAH level 1,"26 Geography, earth and environmental studies (natural sciences)",First degree,2022/23,Female,2125
CAH level 1,"26 Geography, earth and environmental studies (natural sciences)",First degree,2022/23,Male,2190
CAH level 1,"26 Geography, earth and environmental studies (natural sciences)",First degree,2022/23,Unknown,25
CAH level 1,"26 Geography, earth and environmental studies (natural sciences)",First degree,2022/23,Total,4340
CAH level 1,"26 Geography, earth and environmental studies (natural sciences)",Other undergraduate,2022/23,Female,5
CAH level 1,"26 Geography, earth and environmental studies (natural sciences)",Other undergraduate,2022/23,Male,5
CAH level 1,"26 Geography, earth and environmental studies (natural sciences)",Other undergraduate,2022/23,Unknown,0
CAH level 1,"26 Geography, earth and environmental studies (natural sciences)",Other undergraduate,2022/23,Total,5
CAH level 1,"26 Geography, earth and environmental studies (natural sciences)",All,2022/23,Female,2130
CAH level 1,"26 Geography, earth and environmental studies (natural sciences)",All,2022/23,Male,2190
CAH level 1,"26 Geography, earth and environmental studies (natural sciences)",All,2022/23,Unknown,25
CAH level 1,"26 Geography, earth and environmental studies (natural sciences)",All,2022/23,Total,4345
CAH level 1,Total science CAH level 1,All,2022/23,Female,74730
CAH level 1,Total science CAH level 1,All,2022/23,Male,101320
CAH level 1,Total science CAH level 1,All,2022/23,Unknown,1005
CAH level 1,Total science CAH level 1,All,2022/23,Total,177050
CAH level 1,Total science CAH level 1,First degree,2022/23,Female,74095
CAH level 1,Total science CAH level 1,First degree,2022/23,Male,100780
CAH level 1,Total science CAH level 1,First degree,2022/23,Unknown,1005
CAH level 1,Total science CAH level 1,First degree,2022/23,Total,175880
CAH level 1,Total science CAH level 1,Other undergraduate,2022/23,Female,635
CAH level 1,Total science CAH level 1,Other undergraduate,2022/23,Male,535
CAH level 1,Total science CAH level 1,Other undergraduate,2022/23,Unknown,0
CAH level 1,Total science CAH level 1,Other undergraduate,2022/23,Total,1170
CAH level 1,15 Social sciences,First degree,2022/23,Female,14810
CAH level 1,15 Social sciences,First degree,2022/23,Male,12485
CAH level 1,15 Social sciences,First degree,2022/23,Unknown,135
CAH level 1,15 Social sciences,First degree,2022/23,Total,27430
CAH level 1,15 Social sciences,Other undergraduate,2022/23,Female,10
CAH level 1,15 Social sciences,Other undergraduate,2022/23,Male,5
CAH level 1,15 Social sciences,Other undergraduate,2022/23,Unknown,0
CAH level 1,15 Social sciences,Other undergraduate,2022/23,Total,15
CAH level 1,15 Social sciences,All,2022/23,Female,14820
CAH level 1,15 Social sciences,All,2022/23,Male,12490
CAH level 1,15 Social sciences,All,2022/23,Unknown,135
CAH level 1,15 Social sciences,All,2022/23,Total,27445
CAH level 1,16 Law,First degree,2022/23,Female,9040
CAH level 1,16 Law,First degree,2022/23,Male,4360
CAH level 1,16 Law,First degree,2022/23,Unknown,90
CAH level 1,16 Law,First degree,2022/23,Total,13490
CAH level 1,16 Law,All,2022/23,Female,9040
CAH level 1,16 Law,All,2022/23,Male,4360
CAH level 1,16 Law,All,2022/23,Unknown,90
CAH level 1,16 Law,All,2022/23,Total,13490
CAH level 1,17 Business and management,First degree,2022/23,Female,36860
CAH level 1,17 Business and management,First degree,2022/23,Male,48840
CAH level 1,17 Business and management,First degree,2022/23,Unknown,450
CAH level 1,17 Business and management,First degree,2022/23,Total,86155
CAH level 1,17 Business and management,Other undergraduate,2022/23,Female,460
CAH level 1,17 Business and management,Other undergraduate,2022/23,Male,395
CAH level 1,17 Business and management,Other undergraduate,2022/23,Unknown,0
CAH level 1,17 Business and management,Other undergraduate,2022/23,Total,860
CAH level 1,17 Business and management,All,2022/23,Female,37325
CAH level 1,17 Business and management,All,2022/23,Male,49240
CAH level 1,17 Business and management,All,2022/23,Unknown,450
CAH level 1,17 Business and management,All,2022/23,Total,87015
CAH level 1,19 Language and area studies,First degree,2022/23,Female,7915
CAH level 1,19 Language and area studies,First degree,2022/23,Male,3140
CAH level 1,19 Language and area studies,First degree,2022/23,Unknown,75
CAH level 1,19 Language and area studies,First degree,2022/23,Total,11135
CAH level 1,19 Language and area studies,Other undergraduate,2022/23,Female,0
CAH level 1,19 Language and area studies,Other undergraduate,2022/23,Male,0
CAH level 1,19 Language and area studies,Other undergraduate,2022/23,Unknown,0
CAH level 1,19 Language and area studies,Other undergraduate,2022/23,Total,0
CAH level 1,19 Language and area studies,All,2022/23,Female,7920
CAH level 1,19 Language and area studies,All,2022/23,Male,3140
CAH level 1,19 Language and area studies,All,2022/23,Unknown,75
CAH level 1,19 Language and area studies,All,2022/23,Total,11135
CAH level 1,"20 Historical, philosophical and religious studies",First degree,2022/23,Female,2605
CAH level 1,"20 Historical, philosophical and religious studies",First degree,2022/23,Male,2425
CAH level 1,"20 Historical, philosophical and religious studies",First degree,2022/23,Unknown,45
CAH level 1,"20 Historical, philosophical and religious studies",First degree,2022/23,Total,5075
CAH level 1,"20 Historical, philosophical and religious studies",Other undergraduate,2022/23,Female,0
CAH level 1,"20 Historical, philosophical and religious studies",Other undergraduate,2022/23,Male,0
CAH level 1,"20 Historical, philosophical and religious studies",Other undergraduate,2022/23,Unknown,0
CAH level 1,"20 Historical, philosophical and religious studies",Other undergraduate,2022/23,Total,5
CAH level 1,"20 Historical, philosophical and religious studies",All,2022/23,Female,2605
CAH level 1,"20 Historical, philosophical and religious studies",All,2022/23,Male,2430
CAH level 1,"20 Historical, philosophical and religious studies",All,2022/23,Unknown,45
CAH level 1,"20 Historical, philosophical and religious studies",All,2022/23,Total,5080
CAH level 1,22 Education and teaching,First degree,2022/23,Female,1720
CAH level 1,22 Education and teaching,First degree,2022/23,Male,200
CAH level 1,22 Education and teaching,First degree,2022/23,Unknown,5
CAH level 1,22 Education and teaching,First degree,2022/23,Total,1930
CAH level 1,22 Education and teaching,Other undergraduate,2022/23,Female,30
CAH level 1,22 Education and teaching,Other undergraduate,2022/23,Male,10
CAH level 1,22 Education and teaching,Other undergraduate,2022/23,Unknown,0
CAH level 1,22 Education and teaching,Other undergraduate,2022/23,Total,40
CAH level 1,22 Education and teaching,All,2022/23,Female,1750
CAH level 1,22 Education and teaching,All,2022/23,Male,210
CAH level 1,22 Education and teaching,All,2022/23,Unknown,5
CAH level 1,22 Education and teaching,All,2022/23,Total,1965
CAH level 1,23 Combined and general studies,First degree,2022/23,Female,620
CAH level 1,23 Combined and general studies,First degree,2022/23,Male,320
CAH level 1,23 Combined and general studies,First degree,2022/23,Unknown,10
CAH level 1,23 Combined and general studies,First degree,2022/23,Total,950
CAH level 1,23 Combined and general studies,Other undergraduate,2022/23,Female,5
CAH level 1,23 Combined and general studies,Other undergraduate,2022/23,Male,0
CAH level 1,23 Combined and general studies,Other undergraduate,2022/23,Unknown,0
CAH level 1,23 Combined and general studies,Other undergraduate,2022/23,Total,5
CAH level 1,23 Combined and general studies,All,2022/23,Female,625
CAH level 1,23 Combined and general studies,All,2022/23,Male,320
CAH level 1,23 Combined and general studies,All,2022/23,Unknown,10
CAH level 1,23 Combined and general studies,All,2022/23,Total,955
CAH level 1,"24 Media, journalism and communications",First degree,2022/23,Female,3025
CAH level 1,"24 Media, journalism and communications",First degree,2022/23,Male,2190
CAH level 1,"24 Media, journalism and communications",First degree,2022/23,Unknown,60
CAH level 1,"24 Media, journalism and communications",First degree,2022/23,Total,5270
CAH level 1,"24 Media, journalism and communications",Other undergraduate,2022/23,Female,0
CAH level 1,"24 Media, journalism and communications",Other undergraduate,2022/23,Male,0
CAH level 1,"24 Media, journalism and communications",Other undergraduate,2022/23,Unknown,0
CAH level 1,"24 Media, journalism and communications",Other undergraduate,2022/23,Total,0
CAH level 1,"24 Media, journalism and communications",All,2022/23,Female,3025
CAH level 1,"24 Media, journalism and communications",All,2022/23,Male,2190
CAH level 1,"24 Media, journalism and communications",All,2022/23,Unknown,60
CAH level 1,"24 Media, journalism and communications",All,2022/23,Total,5275
CAH level 1,"25 Design, and creative and performing arts",First degree,2022/23,Female,14820
CAH level 1,"25 Design, and creative and performing arts",First degree,2022/23,Male,7700
CAH level 1,"25 Design, and creative and performing arts",First degree,2022/23,Unknown,280
CAH level 1,"25 Design, and creative and performing arts",First degree,2022/23,Total,22800
CAH level 1,"25 Design, and creative and performing arts",Other undergraduate,2022/23,Female,10
CAH level 1,"25 Design, and creative and performing arts",Other undergraduate,2022/23,Male,5
CAH level 1,"25 Design, and creative and performing arts",Other undergraduate,2022/23,Unknown,0
CAH level 1,"25 Design, and creative and performing arts",Other undergraduate,2022/23,Total,15
CAH level 1,"25 Design, and creative and performing arts",All,2022/23,Female,14830
CAH level 1,"25 Design, and creative and performing arts",All,2022/23,Male,7705
CAH level 1,"25 Design, and creative and performing arts",All,2022/23,Unknown,280
CAH level 1,"25 Design, and creative and performing arts",All,2022/23,Total,22815
CAH level 1,"26 Geography, earth and environmental studies (social sciences)",First degree,2022/23,Female,750
CAH level 1,"26 Geography, earth and environmental studies (social sciences)",First degree,2022/23,Male,635
CAH level 1,"26 Geography, earth and environmental studies (social sciences)",First degree,2022/23,Unknown,10
CAH level 1,"26 Geography, earth and environmental studies (social sciences)",First degree,2022/23,Total,1400
CAH level 1,"26 Geography, earth and environmental studies (social sciences)",All,2022/23,Female,750
CAH level 1,"26 Geography, earth and environmental studies (social sciences)",All,2022/23,Male,635
CAH level 1,"26 Geography, earth and environmental studies (social sciences)",All,2022/23,Unknown,10
CAH level 1,"26 Geography, earth and environmental studies (social sciences)",All,2022/23,Total,1400
CAH level 1,Total non-science CAH level 1,All,2022/23,Female,92685
CAH level 1,Total non-science CAH level 1,All,2022/23,Male,82720
CAH level 1,Total non-science CAH level 1,All,2022/23,Unknown,1160
CAH level 1,Total non-science CAH level 1,All,2022/23,Total,176570
CAH level 1,Total non-science CAH level 1,First degree,2022/23,Female,92170
CAH level 1,Total non-science CAH level 1,First degree,2022/23,Male,82305
CAH level 1,Total non-science CAH level 1,First degree,2022/23,Unknown,1160
CAH level 1,Total non-science CAH level 1,First degree,2022/23,Total,175630
CAH level 1,Total non-science CAH level 1,Other undergraduate,2022/23,Female,520
CAH level 1,Total non-science CAH level 1,Other undergraduate,2022/23,Male,420
CAH level 1,Total non-science CAH level 1,Other undergraduate,2022/23,Unknown,0
CAH level 1,Total non-science CAH level 1,Other undergraduate,2022/23,Total,940
CAH level 1,Total,All,2022/23,Female,167415
CAH level 1,Total,All,2022/23,Male,184040
CAH level 1,Total,All,2022/23,Unknown,2165
CAH level 1,Total,All,2022/23,Total,353620
CAH level 1,Total,First degree,2022/23,Female,166265
CAH level 1,Total,First degree,2022/23,Male,183085
CAH level 1,Total,First degree,2022/23,Unknown,2165
CAH level 1,Total,First degree,2022/23,Total,351515
CAH level 1,Total,Other undergraduate,2022/23,Female,1155
CAH level 1,Total,Other undergraduate,2022/23,Male,955
CAH level 1,Total,Other undergraduate,2022/23,Unknown,0
CAH level 1,Total,Other undergraduate,2022/23,Total,2110
CAH level 3,01-01-01 Medical sciences (non-specific),First degree,2022/23,Female,155
CAH level 3,01-01-01 Medical sciences (non-specific),First degree,2022/23,Male,60
