CAH level marker,CAH level subject,Level of study,Academic Year,Sex,Number
CAH level 3,07-04-03 Sciences (non-specific),All,2022/23,Unknown,0
CAH level 3,07-04-03 Sciences (non-specific),All,2022/23,Total,150
CAH level 3,07-04-04 Natural sciences (non-specific),First degree,2022/23,Female,240
CAH level 3,07-04-04 Natural sciences (non-specific),First degree,2022/23,Male,175
CAH level 3,07-04-04 Natural sciences (non-specific),First degree,2022/23,Unknown,5
CAH level 3,07-04-04 Natural sciences (non-specific),First degree,2022/23,Total,420
CAH level 3,07-04-04 Natural sciences (non-specific),All,2022/23,Female,240
CAH level 3,07-04-04 Natural sciences (non-specific),All,2022/23,Male,175
CAH level 3,07-04-04 Natural sciences (non-specific),All,2022/23,Unknown,5
CAH level 3,07-04-04 Natural sciences (non-specific),All,2022/23,Total,420
CAH level 3,09-01-01 Mathematics,First degree,2022/23,Female,1545
CAH level 3,09-01-01 Mathematics,First degree,2022/23,Male,3215
CAH level 3,09-01-01 Mathematics,First degree,2022/23,Unknown,50
CAH level 3,09-01-01 Mathematics,First degree,2022/23,Total,4815
CAH level 3,09-01-01 Mathematics,Other undergraduate,2022/23,Female,0
CAH level 3,09-01-01 Mathematics,Other undergraduate,2022/23,Male,0
CAH level 3,09-01-01 Mathematics,Other undergraduate,2022/23,Unknown,0
CAH level 3,09-01-01 Mathematics,Other undergraduate,2022/23,Total,0
CAH level 3,09-01-01 Mathematics,All,2022/23,Female,1545
CAH level 3,09-01-01 Mathematics,All,2022/23,Male,3215
CAH level 3,09-01-01 Mathematics,All,2022/23,Unknown,50
CAH level 3,09-01-01 Mathematics,All,2022/23,Total,4815
CAH level 3,09-01-02 Operational research,First degree,2022/23,Female,80
CAH level 3,09-01-02 Operational research,First degree,2022/23,Male,115
CAH level 3,09-01-02 Operational research,First degree,2022/23,Unknown,0
CAH level 3,09-01-02 Operational research,First degree,2022/23,Total,195
CAH level 3,09-01-02 Operational research,All,2022/23,Female,80
CAH level 3,09-01-02 Operational research,All,2022/23,Male,115
CAH level 3,09-01-02 Operational research,All,2022/23,Unknown,0
CAH level 3,09-01-02 Operational research,All,2022/23,Total,195
CAH level 3,09-01-03 Statistics,First degree,2022/23,Female,180
CAH level 3,09-01-03 Statistics,First degree,2022/23,Male,300
CAH level 3,09-01-03 Statistics,First degree,2022/23,Unknown,0
CAH level 3,09-01-03 Statistics,First degree,2022/23,Total,480
CAH level 3,09-01-03 Statistics,All,2022/23,Female,180
CAH level 3,09-01-03 Statistics,All,2022/23,Male,300
CAH level 3,09-01-03 Statistics,All,2022/23,Unknown,0
CAH level 3,09-01-03 Statistics,All,2022/23,Total,480
CAH level 3,10-01-01 Engineering (non-specific),First degree,2022/23,Female,675
CAH level 3,10-01-01 Engineering (non-specific),First degree,2022/23,Male,1785
CAH level 3,10-01-01 Engineering (non-specific),First degree,2022/23,Unknown,20
CAH level 3,10-01-01 Engineering (non-specific),First degree,2022/23,Total,2485
CAH level 3,10-01-01 Engineering (non-specific),All,2022/23,Female,675
CAH level 3,10-01-01 Engineering (non-specific),All,2022/23,Male,1785
CAH level 3,10-01-01 Engineering (non-specific),All,2022/23,Unknown,20
CAH level 3,10-01-01 Engineering (non-specific),All,2022/23,Total,2485
CAH level 3,10-01-02 Mechanical engineering,First degree,2022/23,Female,1230
CAH level 3,10-01-02 Mechanical engineering,First degree,2022/23,Male,8970
CAH level 3,10-01-02 Mechanical engineering,First degree,2022/23,Unknown,45
CAH level 3,10-01-02 Mechanical engineering,First degree,2022/23,Total,10245
CAH level 3,10-01-02 Mechanical engineering,Other undergraduate,2022/23,Female,0
CAH level 3,10-01-02 Mechanical engineering,Other undergraduate,2022/23,Male,0
CAH level 3,10-01-02 Mechanical engineering,Other undergraduate,2022/23,Unknown,0
CAH level 3,10-01-02 Mechanical engineering,Other undergraduate,2022/23,Total,0
CAH level 3,10-01-02 Mechanical engineering,All,2022/23,Female,1230
CAH level 3,10-01-02 Mechanical engineering,All,2022/23,Male,8970
CAH level 3,10-01-02 Mechanical engineering,All,2022/23,Unknown,45
CAH level 3,10-01-02 Mechanical engineering,All,2022/23,Total,10245
CAH level 3,10-01-03 Production and manufacturing engineering,First degree,2022/23,Female,470
CAH level 3,10-01-03 Production and manufacturing engineering,First degree,2022/23,Male,3475
CAH level 3,10-01-03 Production and manufacturing engineering,First degree,2022/23,Unknown,30
CAH level 3,10-01-03 Production and manufacturing engineering,First degree,2022/23,Total,3975
CAH level 3,10-01-03 Production and manufacturing engineering,Other undergraduate,2022/23,Female,0
CAH level 3,10-01-03 Production and manufacturing engineering,Other undergraduate,2022/23,Male,0
CAH level 3,10-01-03 Production and manufacturing engineering,Other undergraduate,2022/23,Unknown,0
CAH level 3,10-01-03 Production and manufacturing engineering,Other undergraduate,2022/23,Total,0
CAH level 3,10-01-03 Production and manufacturing engineering,All,2022/23,Female,470
CAH level 3,10-01-03 Production and manufacturing engineering,All,2022/23,Male,3475
CAH level 3,10-01-03 Production and manufacturing engineering,All,2022/23,Unknown,30
CAH level 3,10-01-03 Production and manufacturing engineering,All,2022/23,Total,3975
CAH level 3,10-01-04 Aeronautical and aerospace engineering,First degree,2022/23,Female,805
CAH level 3,10-01-04 Aeronautical and aerospace engineering,First degree,2022/23,Male,4170
CAH level 3,10-01-04 Aeronautical and aerospace engineering,First degree,2022/23,Unknown,25
CAH level 3,10-01-04 Aeronautical and aerospace engineering,First degree,2022/23,Total,5000
CAH level 3,10-01-04 Aeronautical and aerospace engineering,All,2022/23,Female,805
CAH level 3,10-01-04 Aeronautical and aerospace engineering,All,2022/23,Male,4170
CAH level 3,10-01-04 Aeronautical and aerospace engineering,All,2022/23,Unknown,25
CAH level 3,10-01-04 Aeronautical and aerospace engineering,All,2022/23,Total,5000
CAH level 3,10-01-05 Naval architecture,First degree,2022/23,Female,0
CAH level 3,10-01-05 Naval architecture,First degree,2022/23,Male,0
CAH level 3,10-01-05 Naval architecture,First degree,2022/23,Unknown,0
CAH level 3,10-01-05 Naval architecture,First degree,2022/23,Total,0
CAH level 3,10-01-05 Naval architecture,All,2022/23,Female,0
CAH level 3,10-01-05 Naval architecture,All,2022/23,Male,0
CAH level 3,10-01-05 Naval architecture,All,2022/23,Unknown,0
CAH level 3,10-01-05 Naval architecture,All,2022/23,Total,0
CAH level 3,"10-01-06 Bioengineering, medical and biomedical engineering",First degree,2022/23,Female,575
CAH level 3,"10-01-06 Bioengineering, medical and biomedical engineering",First degree,2022/23,Male,510
CAH level 3,"10-01-06 Bioengineering, medical and biomedical engineering",First degree,2022/23,Unknown,5
CAH level 3,"10-01-06 Bioengineering, medical and biomedical engineering",First degree,2022/23,Total,1090
CAH level 3,"10-01-06 Bioengineering, medical and biomedical engineering",All,2022/23,Female,575
CAH level 3,"10-01-06 Bioengineering, medical and biomedical engineering",All,2022/23,Male,510
CAH level 3,"10-01-06 Bioengineering, medical and biomedical engineering",All,2022/23,Unknown,5
CAH level 3,"10-01-06 Bioengineering, medical and biomedical engineering",All,2022/23,Total,1090
CAH level 3,10-01-07 Civil engineering,First degree,2022/23,Female,1330
CAH level 3,10-01-07 Civil engineering,First degree,2022/23,Male,4545
CAH level 3,10-01-07 Civil engineering,First degree,2022/23,Unknown,20
CAH level 3,10-01-07 Civil engineering,First degree,2022/23,Total,5895
CAH level 3,10-01-07 Civil engineering,Other undergraduate,2022/23,Female,0
CAH level 3,10-01-07 Civil engineering,Other undergraduate,2022/23,Male,0
CAH level 3,10-01-07 Civil engineering,Other undergraduate,2022/23,Unknown,0
CAH level 3,10-01-07 Civil engineering,Other undergraduate,2022/23,Total,0
CAH level 3,10-01-07 Civil engineering,All,2022/23,Female,1330
CAH level 3,10-01-07 Civil engineering,All,2022/23,Male,4550
CAH level 3,10-01-07 Civil engineering,All,2022/23,Unknown,20
CAH level 3,10-01-07 Civil engineering,All,2022/23,Total,5895
CAH level 3,10-01-08 Electrical and electronic engineering,First degree,2022/23,Female,575
CAH level 3,10-01-08 Electrical and electronic engineering,First degree,2022/23,Male,4190
CAH level 3,10-01-08 Electrical and electronic engineering,First degree,2022/23,Unknown,30
CAH level 3,10-01-08 Electrical and electronic engineering,First degree,2022/23,Total,4795
CAH level 3,10-01-08 Electrical and electronic engineering,Other undergraduate,2022/23,Female,0
CAH level 3,10-01-08 Electrical and electronic engineering,Other undergraduate,2022/23,Male,5
CAH level 3,10-01-08 Electrical and electronic engineering,Other undergraduate,2022/23,Unknown,0
CAH level 3,10-01-08 Electrical and electronic engineering,Other undergraduate,2022/23,Total,5
CAH level 3,10-01-08 Electrical and electronic engineering,All,2022/23,Female,575
CAH level 3,10-01-08 Electrical and electronic engineering,All,2022/23,Male,4195
CAH level 3,10-01-08 Electrical and electronic engineering,All,2022/23,Unknown,30
CAH level 3,10-01-08 Electrical and electronic engineering,All,2022/23,Total,4800
CAH level 3,"10-01-09 Chemical, process and energy engineering",First degree,2022/23,Female,915
CAH level 3,"10-01-09 Chemical, process and energy engineering",First degree,2022/23,Male,2020
CAH level 3,"10-01-09 Chemical, process and energy engineering",First degree,2022/23,Unknown,10
CAH level 3,"10-01-09 Chemical, process and energy engineering",First degree,2022/23,Total,2945
CAH level 3,"10-01-09 Chemical, process and energy engineering",All,2022/23,Female,915
CAH level 3,"10-01-09 Chemical, process and energy engineering",All,2022/23,Male,2020
CAH level 3,"10-01-09 Chemical, process and energy engineering",All,2022/23,Unknown,10
CAH level 3,"10-01-09 Chemical, process and energy engineering",All,2022/23,Total,2945
CAH level 3,10-01-10 Others in engineering,First degree,2022/23,Female,0
CAH level 3,10-01-10 Others in engineering,First degree,2022/23,Male,5
CAH level 3,10-01-10 Others in engineering,First degree,2022/23,Unknown,0
CAH level 3,10-01-10 Others in engineering,First degree,2022/23,Total,5
CAH level 3,10-01-10 Others in engineering,All,2022/23,Female,0
CAH level 3,10-01-10 Others in engineering,All,2022/23,Male,5
CAH level 3,10-01-10 Others in engineering,All,2022/23,Unknown,0
CAH level 3,10-01-10 Others in engineering,All,2022/23,Total,5
CAH level 3,10-03-02 Materials technology,First degree,2022/23,Female,65
CAH level 3,10-03-02 Materials technology,First degree,2022/23,Male,230
CAH level 3,10-03-02 Materials technology,First degree,2022/23,Unknown,5
CAH level 3,10-03-02 Materials technology,First degree,2022/23,Total,300
CAH level 3,10-03-02 Materials technology,All,2022/23,Female,65
CAH level 3,10-03-02 Materials technology,All,2022/23,Male,230
CAH level 3,10-03-02 Materials technology,All,2022/23,Unknown,5
CAH level 3,10-03-02 Materials technology,All,2022/23,Total,300
CAH level 3,10-03-03 Polymers and textiles,First degree,2022/23,Female,60
CAH level 3,10-03-03 Polymers and textiles,First degree,2022/23,Male,0
CAH level 3,10-03-03 Polymers and textiles,First degree,2022/23,Unknown,0
CAH level 3,10-03-03 Polymers and textiles,First degree,2022/23,Total,60
CAH level 3,10-03-03 Polymers and textiles,All,2022/23,Female,60
CAH level 3,10-03-03 Polymers and textiles,All,2022/23,Male,0
CAH level 3,10-03-03 Polymers and textiles,All,2022/23,Unknown,0
CAH level 3,10-03-03 Polymers and textiles,All,2022/23,Total,60
CAH level 3,10-03-04 Maritime technology,First degree,2022/23,Female,15
CAH level 3,10-03-04 Maritime technology,First degree,2022/23,Male,85
CAH level 3,10-03-04 Maritime technology,First degree,2022/23,Unknown,0
CAH level 3,10-03-04 Maritime technology,First degree,2022/23,Total,100
CAH level 3,10-03-04 Maritime technology,Other undergraduate,2022/23,Female,35
CAH level 3,10-03-04 Maritime technology,Other undergraduate,2022/23,Male,245
CAH level 3,10-03-04 Maritime technology,Other undergraduate,2022/23,Unknown,0
CAH level 3,10-03-04 Maritime technology,Other undergraduate,2022/23,Total,275
CAH level 3,10-03-04 Maritime technology,All,2022/23,Female,45
CAH level 3,10-03-04 Maritime technology,All,2022/23,Male,330
CAH level 3,10-03-04 Maritime technology,All,2022/23,Unknown,0
CAH level 3,10-03-04 Maritime technology,All,2022/23,Total,380
CAH level 3,10-03-05 Biotechnology,First degree,2022/23,Female,50
CAH level 3,10-03-05 Biotechnology,First degree,2022/23,Male,40
CAH level 3,10-03-05 Biotechnology,First degree,2022/23,Unknown,0
CAH level 3,10-03-05 Biotechnology,First degree,2022/23,Total,95
CAH level 3,10-03-05 Biotechnology,All,2022/23,Female,50
CAH level 3,10-03-05 Biotechnology,All,2022/23,Male,40
CAH level 3,10-03-05 Biotechnology,All,2022/23,Unknown,0
CAH level 3,10-03-05 Biotechnology,All,2022/23,Total,95
CAH level 3,10-03-06 Others in technology,First degree,2022/23,Female,125
CAH level 3,10-03-06 Others in technology,First degree,2022/23,Male,530
CAH level 3,10-03-06 Others in technology,First degree,2022/23,Unknown,15
CAH level 3,10-03-06 Others in technology,First degree,2022/23,Total,670
CAH level 3,10-03-06 Others in technology,Other undergraduate,2022/23,Female,0
CAH level 3,10-03-06 Others in technology,Other undergraduate,2022/23,Male,5
CAH level 3,10-03-06 Others in technology,Other undergraduate,2022/23,Unknown,0
CAH level 3,10-03-06 Others in technology,Other undergraduate,2022/23,Total,5
CAH level 3,10-03-06 Others in technology,All,2022/23,Female,130
CAH level 3,10-03-06 Others in technology,All,2022/23,Male,530
CAH level 3,10-03-06 Others in technology,All,2022/23,Unknown,15
CAH level 3,10-03-06 Others in technology,All,2022/23,Total,675
CAH level 3,10-03-07 Materials science,First degree,2022/23,Female,10
CAH level 3,10-03-07 Materials science,First degree,2022/23,Male,20
CAH level 3,10-03-07 Materials science,First degree,2022/23,Unknown,0
CAH level 3,10-03-07 Materials science,First degree,2022/23,Total,30
CAH level 3,10-03-07 Materials science,All,2022/23,Female,10
CAH level 3,10-03-07 Materials science,All,2022/23,Male,20
CAH level 3,10-03-07 Materials science,All,2022/23,Unknown,0
CAH level 3,10-03-07 Materials science,All,2022/23,Total,30
CAH level 3,11-01-01 Computer science,First degree,2022/23,Female,3810
CAH level 3,11-01-01 Computer science,First degree,2022/23,Male,18025
CAH level 3,11-01-01 Computer science,First degree,2022/23,Unknown,155
CAH level 3,11-01-01 Computer science,First degree,2022/23,Total,21990
CAH level 3,11-01-01 Computer science,Other undergraduate,2022/23,Female,0
CAH level 3,11-01-01 Computer science,Other undergraduate,2022/23,Male,5
CAH level 3,11-01-01 Computer science,Other undergraduate,2022/23,Unknown,0
CAH level 3,11-01-01 Computer science,Other undergraduate,2022/23,Total,5
CAH level 3,11-01-01 Computer science,All,2022/23,Female,3810
CAH level 3,11-01-01 Computer science,All,2022/23,Male,18030
CAH level 3,11-01-01 Computer science,All,2022/23,Unknown,155
CAH level 3,11-01-01 Computer science,All,2022/23,Total,21995
CAH level 3,11-01-02 Information technology,First degree,2022/23,Female,245
CAH level 3,11-01-02 Information technology,First degree,2022/23,Male,1200
CAH level 3,11-01-02 Information technology,First degree,2022/23,Unknown,15
CAH level 3,11-01-02 Information technology,First degree,2022/23,Total,1460
CAH level 3,11-01-02 Information technology,All,2022/23,Female,245
CAH level 3,11-01-02 Information technology,All,2022/23,Male,1200
CAH level 3,11-01-02 Information technology,All,2022/23,Unknown,15
CAH level 3,11-01-02 Information technology,All,2022/23,Total,1460
CAH level 3,11-01-03 Information systems,First degree,2022/23,Female,225
CAH level 3,11-01-03 Information systems,First degree,2022/23,Male,770
CAH level 3,11-01-03 Information systems,First degree,2022/23,Unknown,5
CAH level 3,11-01-03 Information systems,First degree,2022/23,Total,1005
CAH level 3,11-01-03 Information systems,Other undergraduate,2022/23,Female,0
CAH level 3,11-01-03 Information systems,Other undergraduate,2022/23,Male,0
CAH level 3,11-01-03 Information systems,Other undergraduate,2022/23,Unknown,0
CAH level 3,11-01-03 Information systems,Other undergraduate,2022/23,Total,0
CAH level 3,11-01-03 Information systems,All,2022/23,Female,230
CAH level 3,11-01-03 Information systems,All,2022/23,Male,770
CAH level 3,11-01-03 Information systems,All,2022/23,Unknown,5
CAH level 3,11-01-03 Information systems,All,2022/23,Total,1005
CAH level 3,11-01-04 Software engineering,First degree,2022/23,Female,810
CAH level 3,11-01-04 Software engineering,First degree,2022/23,Male,5220
CAH level 3,11-01-04 Software engineering,First degree,2022/23,Unknown,30
CAH level 3,11-01-04 Software engineering,First degree,2022/23,Total,6060
CAH level 3,11-01-04 Software engineering,Other undergraduate,2022/23,Female,0
CAH level 3,11-01-04 Software engineering,Other undergraduate,2022/23,Male,5
CAH level 3,11-01-04 Software engineering,Other undergraduate,2022/23,Unknown,0
CAH level 3,11-01-04 Software engineering,Other undergraduate,2022/23,Total,5
CAH level 3,11-01-04 Software engineering,All,2022/23,Female,810
CAH level 3,11-01-04 Software engineering,All,2022/23,Male,5225
CAH level 3,11-01-04 Software engineering,All,2022/23,Unknown,30
CAH level 3,11-01-04 Software engineering,All,2022/23,Total,6060
CAH level 3,11-01-05 Artificial intelligence,First degree,2022/23,Female,115
CAH level 3,11-01-05 Artificial intelligence,First degree,2022/23,Male,500
CAH level 3,11-01-05 Artificial intelligence,First degree,2022/23,Unknown,5
CAH level 3,11-01-05 Artificial intelligence,First degree,2022/23,Total,615
CAH level 3,11-01-05 Artificial intelligence,All,2022/23,Female,115
CAH level 3,11-01-05 Artificial intelligence,All,2022/23,Male,500
CAH level 3,11-01-05 Artificial intelligence,All,2022/23,Unknown,5
CAH level 3,11-01-05 Artificial intelligence,All,2022/23,Total,615
CAH level 3,11-01-06 Computer games and animation,First degree,2022/23,Female,825
CAH level 3,11-01-06 Computer games and animation,First degree,2022/23,Male,3315
CAH level 3,11-01-06 Computer games and animation,First degree,2022/23,Unknown,70
CAH level 3,11-01-06 Computer games and animation,First degree,2022/23,Total,4205
CAH level 3,11-01-06 Computer games and animation,Other undergraduate,2022/23,Female,0
CAH level 3,11-01-06 Computer games and animation,Other undergraduate,2022/23,Male,5
CAH level 3,11-01-06 Computer games and animation,Other undergraduate,2022/23,Unknown,0
CAH level 3,11-01-06 Computer games and animation,Other undergraduate,2022/23,Total,5
CAH level 3,11-01-06 Computer games and animation,All,2022/23,Female,825
CAH level 3,11-01-06 Computer games and animation,All,2022/23,Male,3315
CAH level 3,11-01-06 Computer games and animation,All,2022/23,Unknown,70
CAH level 3,11-01-06 Computer games and animation,All,2022/23,Total,4210
CAH level 3,11-01-07 Business computing,First degree,2022/23,Female,300
CAH level 3,11-01-07 Business computing,First degree,2022/23,Male,890
CAH level 3,11-01-07 Business computing,First degree,2022/23,Unknown,10
CAH level 3,11-01-07 Business computing,First degree,2022/23,Total,1195
CAH level 3,11-01-07 Business computing,Other undergraduate,2022/23,Female,0
CAH level 3,11-01-07 Business computing,Other undergraduate,2022/23,Male,0
CAH level 3,11-01-07 Business computing,Other undergraduate,2022/23,Unknown,0
CAH level 3,11-01-07 Business computing,Other undergraduate,2022/23,Total,0
CAH level 3,11-01-07 Business computing,All,2022/23,Female,300
CAH level 3,11-01-07 Business computing,All,2022/23,Male,890
CAH level 3,11-01-07 Business computing,All,2022/23,Unknown,10
CAH level 3,11-01-07 Business computing,All,2022/23,Total,1195
CAH level 3,11-01-08 Others in computing,First degree,2022/23,Female,140
CAH level 3,11-01-08 Others in computing,First degree,2022/23,Male,575
CAH level 3,11-01-08 Others in computing,First degree,2022/23,Unknown,5
CAH level 3,11-01-08 Others in computing,First degree,2022/23,Total,720
CAH level 3,11-01-08 Others in computing,All,2022/23,Female,140
CAH level 3,11-01-08 Others in computing,All,2022/23,Male,575
CAH level 3,11-01-08 Others in computing,All,2022/23,Unknown,5
CAH level 3,11-01-08 Others in computing,All,2022/23,Total,720
CAH level 3,13-01-01 Architecture,First degree,2022/23,Female,2025
CAH level 3,13-01-01 Architecture,First degree,2022/23,Male,2080
CAH level 3,13-01-01 Architecture,First degree,2022/23,Unknown,30
CAH level 3,13-01-01 Architecture,First degree,2022/23,Total,4135
CAH level 3,13-01-01 Architecture,Other undergraduate,2022/23,Female,85
CAH level 3,13-01-01 Architecture,Other undergraduate,2022/23,Male,40
CAH level 3,13-01-01 Architecture,Other undergraduate,2022/23,Unknown,0
CAH level 3,13-01-01 Architecture,Other undergraduate,2022/23,Total,120
CAH level 3,13-01-01 Architecture,All,2022/23,Female,2110
CAH level 3,13-01-01 Architecture,All,2022/23,Male,2120
CAH level 3,13-01-01 Architecture,All,2022/23,Unknown,30
CAH level 3,13-01-01 Architecture,All,2022/23,Total,4255
CAH level 3,13-01-02 Building,First degree,2022/23,Female,870
CAH level 3,13-01-02 Building,First degree,2022/23,Male,4070
CAH level 3,13-01-02 Building,First degree,2022/23,Unknown,15
CAH level 3,13-01-02 Building,First degree,2022/23,Total,4955
CAH level 3,13-01-02 Building,Other undergraduate,2022/23,Female,0
CAH level 3,13-01-02 Building,Other undergraduate,2022/23,Male,0
CAH level 3,13-01-02 Building,Other undergraduate,2022/23,Unknown,0
CAH level 3,13-01-02 Building,Other undergraduate,2022/23,Total,0
CAH level 3,13-01-02 Building,All,2022/23,Female,870
CAH level 3,13-01-02 Building,All,2022/23,Male,4075
CAH level 3,13-01-02 Building,All,2022/23,Unknown,15
CAH level 3,13-01-02 Building,All,2022/23,Total,4955
CAH level 3,13-01-03 Landscape design,First degree,2022/23,Female,55
CAH level 3,13-01-03 Landscape design,First degree,2022/23,Male,20
CAH level 3,13-01-03 Landscape design,First degree,2022/23,Unknown,0
CAH level 3,13-01-03 Landscape design,First degree,2022/23,Total,75
CAH level 3,13-01-03 Landscape design,All,2022/23,Female,55
CAH level 3,13-01-03 Landscape design,All,2022/23,Male,20
CAH level 3,13-01-03 Landscape design,All,2022/23,Unknown,0
CAH level 3,13-01-03 Landscape design,All,2022/23,Total,75
CAH level 3,"13-01-04 Planning (urban, rural and regional)",First degree,2022/23,Female,320
CAH level 3,"13-01-04 Planning (urban, rural and regional)",First degree,2022/23,Male,370
CAH level 3,"13-01-04 Planning (urban, rural and regional)",First degree,2022/23,Unknown,0
CAH level 3,"13-01-04 Planning (urban, rural and regional)",First degree,2022/23,Total,690
CAH level 3,"13-01-04 Planning (urban, rural and regional)",Other undergraduate,2022/23,Female,10
CAH level 3,"13-01-04 Planning (urban, rural and regional)",Other undergraduate,2022/23,Male,15
CAH level 3,"13-01-04 Planning (urban, rural and regional)",Other undergraduate,2022/23,Unknown,0
CAH level 3,"13-01-04 Planning (urban, rural and regional)",Other undergraduate,2022/23,Total,25
CAH level 3,"13-01-04 Planning (urban, rural and regional)",All,2022/23,Female,330
CAH level 3,"13-01-04 Planning (urban, rural and regional)",All,2022/23,Male,385
CAH level 3,"13-01-04 Planning (urban, rural and regional)",All,2022/23,Unknown,0
CAH level 3,"13-01-04 Planning (urban, rural and regional)",All,2022/23,Total,715
CAH level 3,26-01-01 Geography (non-specific),First degree,2022/23,Female,515
CAH level 3,26-01-01 Geography (non-specific),First degree,2022/23,Male,440
CAH level 3,26-01-01 Geography (non-specific),First degree,2022/23,Unknown,5
CAH level 3,26-01-01 Geography (non-specific),First degree,2022/23,Total,955
CAH level 3,26-01-01 Geography (non-specific),All,2022/23,Female,515
CAH level 3,26-01-01 Geography (non-specific),All,2022/23,Male,440
CAH level 3,26-01-01 Geography (non-specific),All,2022/23,Unknown,5
CAH level 3,26-01-01 Geography (non-specific),All,2022/23,Total,955
CAH level 3,26-01-02 Physical geographical sciences,First degree,2022/23,Female,550
CAH level 3,26-01-02 Physical geographical sciences,First degree,2022/23,Male,595
CAH level 3,26-01-02 Physical geographical sciences,First degree,2022/23,Unknown,5
CAH level 3,26-01-02 Physical geographical sciences,First degree,2022/23,Total,1155
CAH level 3,26-01-02 Physical geographical sciences,All,2022/23,Female,550
CAH level 3,26-01-02 Physical geographical sciences,All,2022/23,Male,595
CAH level 3,26-01-02 Physical geographical sciences,All,2022/23,Unknown,5
CAH level 3,26-01-02 Physical geographical sciences,All,2022/23,Total,1155
CAH level 3,26-01-04 Environmental sciences,First degree,2022/23,Female,660
CAH level 3,26-01-04 Environmental sciences,First degree,2022/23,Male,580
CAH level 3,26-01-04 Environmental sciences,First degree,2022/23,Unknown,5
CAH level 3,26-01-04 Environmental sciences,First degree,2022/23,Total,1245
CAH level 3,26-01-04 Environmental sciences,All,2022/23,Female,660
CAH level 3,26-01-04 Environmental sciences,All,2022/23,Male,580
CAH level 3,26-01-04 Environmental sciences,All,2022/23,Unknown,5
CAH level 3,26-01-04 Environmental sciences,All,2022/23,Total,1245
CAH level 3,26-01-05 Others in geographical studies,First degree,2022/23,Female,5
CAH level 3,26-01-05 Others in geographical studies,First degree,2022/23,Male,0
CAH level 3,26-01-05 Others in geographical studies,First degree,2022/23,Unknown,0
CAH level 3,26-01-05 Others in geographical studies,First degree,2022/23,Total,5
CAH level 3,26-01-05 Others in geographical studies,All,2022/23,Female,5
CAH level 3,26-01-05 Others in geographical studies,All,2022/23,Male,0
CAH level 3,26-01-05 Others in geographical studies,All,2022/23,Unknown,0
CAH level 3,26-01-05 Others in geographical studies,All,2022/23,Total,5
CAH level 3,26-01-06 Earth sciences,First degree,2022/23,Female,400
CAH level 3,26-01-06 Earth sciences,First degree,2022/23,Male,575
CAH level 3,26-01-06 Earth sciences,First degree,2022/23,Unknown,5
CAH level 3,26-01-06 Earth sciences,First degree,2022/23,Total,980
CAH level 3,26-01-06 Earth sciences,Other undergraduate,2022/23,Female,5
CAH level 3,26-01-06 Earth sciences,Other undergraduate,2022/23,Male,5
CAH level 3,26-01-06 Earth sciences,Other undergraduate,2022/23,Unknown,0
CAH level 3,26-01-06 Earth sciences,Other undergraduate,2022/23,Total,5
CAH level 3,26-01-06 Earth sciences,All,2022/23,Female,400
CAH level 3,26-01-06 Earth sciences,All,2022/23,Male,580
CAH level 3,26-01-06 Earth sciences,All,2022/23,Unknown,5
CAH level 3,26-01-06 Earth sciences,All,2022/23,Total,985
CAH level 3,Total science CAH level 3,All,2022/23,Female,74730
CAH level 3,Total science CAH level 3,All,2022/23,Male,101320
CAH level 3,Total science CAH level 3,All,2022/23,Unknown,1005
CAH level 3,Total science CAH level 3,All,2022/23,Total,177050
CAH level 3,Total science CAH level 3,First degree,2022/23,Female,74095
CAH level 3,Total science CAH level 3,First degree,2022/23,Male,100780
CAH level 3,Total science CAH level 3,First degree,2022/23,Unknown,1005
CAH level 3,Total science CAH level 3,First degree,2022/23,Total,175880
CAH level 3,Total science CAH level 3,Other undergraduate,2022/23,Female,635
CAH level 3,Total science CAH level 3,Other undergraduate,2022/23,Male,535
CAH level 3,Total science CAH level 3,Other undergraduate,2022/23,Unknown,0
CAH level 3,Total science CAH level 3,Other undergraduate,2022/23,Total,1170
CAH level 3,15-01-01 Social sciences (non-specific),First degree,2022/23,Female,135
CAH level 3,15-01-01 Social sciences (non-specific),First degree,2022/23,Male,40
CAH level 3,15-01-01 Social sciences (non-specific),First degree,2022/23,Unknown,0
CAH level 3,15-01-01 Social sciences (non-specific),First degree,2022/23,Total,175
CAH level 3,15-01-01 Social sciences (non-specific),All,2022/23,Female,135
CAH level 3,15-01-01 Social sciences (non-specific),All,2022/23,Male,40
CAH level 3,15-01-01 Social sciences (non-specific),All,2022/23,Unknown,0
CAH level 3,15-01-01 Social sciences (non-specific),All,2022/23,Total,175
CAH level 3,15-01-02 Sociology,First degree,2022/23,Female,6825
CAH level 3,15-01-02 Sociology,First degree,2022/23,Male,1595
CAH level 3,15-01-02 Sociology,First degree,2022/23,Unknown,50
CAH level 3,15-01-02 Sociology,First degree,2022/23,Total,8465
CAH level 3,15-01-02 Sociology,Other undergraduate,2022/23,Female,5
CAH level 3,15-01-02 Sociology,Other undergraduate,2022/23,Male,0
CAH level 3,15-01-02 Sociology,Other undergraduate,2022/23,Unknown,0
CAH level 3,15-01-02 Sociology,Other undergraduate,2022/23,Total,5
CAH level 3,15-01-02 Sociology,All,2022/23,Female,6830
CAH level 3,15-01-02 Sociology,All,2022/23,Male,1595
CAH level 3,15-01-02 Sociology,All,2022/23,Unknown,50
